NIT,"DV
SEDE",ORGANIZACIÓN,GRUPO POBLACIONAL,RED TERRITORIAL,LOCALIDAD,BARRIO,DIRECCIÓN,CONTACTO,TELÉFONOS DE CONTACTO,CORREO,DIA DE PEDIDO,FRECUENCIA,SEMANA
830108472,,PARROQUIA SANTOS MARTIRES GERVASIO Y PROTASIO,BUEN SAMARITANO,ENGATIVÁ,SUBA,RINCÓN - TABERÍN,CALLE 130 B BIS No. 87 A - 20,PADRE JULIÁN ZAPATA BETANCUR,3147467625,santosmartiresp@gmail.com,MIÉRCOLES,MENSUAL,1 SEMANA
860533835,,CORPORACIÓN GENERAL GUSTAVO MATAMOROS D COSTA,COMEDOR AMIGO,CRISTO SACERDOTE,CHAPINERO,CHAPINERO,CARRERA 6 No. 49 - 21 (OPERATIVA),MARÍA ALEJANDRA NEIRA MONTES - PEDIDOS LUZ MARINA CRUZ,3138329965 - PEDIDOS 3174281443,hogarmatamoros@corporacionmatamoros.org,MIÉRCOLES,QUINCENAL,1 Y 3 SEMANA
900042266,,FUNDACIÓN RESTAURACIÓN COLOMBIA POR LA RESTAURACIÓN DE LAS FAMILIAS,COMEDOR ESCOLAR,SAN PABLO,USME,ALFONSO LÓPEZ,CARRERA 6 B ESTE No. 97 B - 41 SUR,MARIO ANTONIO CARREÑO PARRA - MARÍA PATRICIA GUTIÉRREZ,3114726812 (PEDIDOS) - 3134825300 - 7627779,restauracion327@outlook.com,LUNES,QUINCENAL,1 Y 3 SEMANA
900049661,,"IGLESIA MISIÓN, VIDA Y LIBERTAD",TEJIENDO COMUNIDAD,ENGATIVÁ,SUBA,SAN CARLOS,CARRERA 136 A No. 143 - 27,OSCAR YUSSEPY PÉREZ BARRERA,3057043945 - 3164143061,mcvlibertad@yahoo.es,LUNES,MENSUAL,1 SEMANA
800250954,,ASOCIACION CRISTIANA NUEVO NACIMIENTO,INTERNADO,INMACULADA CONCEPCIÓN,SANTA FÉ,LOS MARTIRES,"CALLE 22 D No. 18 - 48 (SEDE PRINCIPAL)
CALLE 22 D No. 18 - 56 (SEDE RECONCILIACIÓN) 
CALLE 22 D No. 18 - 62 (SEDE ALEGRÍA DE VIVIR)
CALLE 57 BIS #35-06",CAROLINA GUATIVA,320 4676271 - 310 8842100,admonacnn@outlook.com,LUNES,SEMANAL,SEMANAL
860028677,-1,CLUB DE LEONES BOGOTÁ SAN AGUSTÍN,JARDÍN INFANTIL,SAN JOSÉ,SAN CRISTÓBAL,LOS LIBERTADORES,TRANSVERSAL 14 ESTE No. 54 - 61 SUR,ÁNGELA MARÍA PÉREZ,3219273616 - 3659189,h.i.chiquitines@hotmail.com,LUNES,QUINCENAL,1 Y 3 SEMANA
860028677,-2,CLUB DE LEONES BOGOTÁ SAN AGUSTÍN - HOGAR INFANTIL SOÑANDO CAMINOS,JARDÍN INFANTIL,SAN JOSÉ,SAN CRISTÓBAL,LA GLORIA,CALLE 43 B SUR No. 7 A - 21 ESTE,LUCILA MONTERO TORRES,3208916069 - 3143233861,his-caminos@hotmail.com,LUNES,QUINCENAL,1 Y 3 SEMANA
900994606,,FUNDACION CLINICA DEL HOGAR,TERAPÉUTICO POR ADICCIÓN,FONTIBÓN,FONTIBÓN,EL RUBY,CALLE 22 L No. 96 J - 09,LUIS CARLOS MONTERO,3027184432,fundacionclinicadelhogar@gmail.com,LUNES,SEMANAL,1 Y 3 SEMANA DEL MES
900136903,3,FUNDACIÓN MIL SEMILLAS - NUEVO KENNEDY SEDE 3,JARDÍN INFANTIL,FONTIBÓN,KENNEDY,CAMILO TORRES,CALLE 38 C SUR No. 73 A - 12,DAVID MONTOYA - CRISTIAN SERRATO,3203842555 - 3212138270 PEDIDOS,contabilidadmilsemillas@gmail.com,MIÉRCOLES,SEMANAL,SEMANAL
900474959,,FUNDACIÓN CENTRO DE ATENCIÓN INFANTIL C A I ALBERT EINSTEIN,JARDÍN INFANTIL,SOACHA,SOACHA,SAN MATEO,CARRERA 9 ESTE No. 38 - 23,LAURA VALENTINA YÁNEZ PINZÓN,3004210038 - 3182993769,fcaialberteinstein@yahoo.com.co,LUNES,SEMANAL,SEMANAL
900653127,,IGLESIA CENTRO DE FE Y ESPERANZA - ORIENTE,TEJIENDO COMUNIDAD,FONTIBÓN - NACIONAL,MOSQUERA,VILLA MARCELA,CARRERA 10 B No. 10 - 05 - 2° PISO,NORMAN ALEJANDRO GAVIRIA,3118699123,normanalejogaviria@gmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA
901196557,,HOGAR ADULTO MAYOR ALEGRÍAS Y RECUERDOS DE ANTAÑO (SIGLA: FUNDACIÓN HAMARA),"1. INTERNADO
2. ADULTO MAYOR",CRISTO SACERDOTE,BARRIOS UNIDOS,SIMÓN BOLÍVAR,CALLE 76 No. 62 - 64,ROSALBA GUALTEROS GÓMEZ,4609308 - 3177430670,recuerdoshamara@gmail.com,LUNES,QUINCENAL,2 Y 4 SEMANA
900136903,4,FUNDACIÓN MIL SEMILLAS - FLORALIA SEDE 4,JARDÍN INFANTIL,FONTIBÓN,KENNEDY,FLORALIA,TRANSVERSAL 68 C No. 31 - 26 SUR,DAVID MONTOYA - CRISTIAN SERRATO,3203842555 - 3212138270 PEDIDOS,contabilidadmilsemillas@gmail.com,MIÉRCOLES,SEMANAL,SEMANAL
860016505,,PARROQUIA NUESTRA SEÑORA DE EGIPTO,TEJIENDO COMUNIDAD,INMACULADA CONCEPCIÓN,CANDELARIA,EGIPTO,CARRERA 4 ESTE No. 10 - 02,PEDIDOS: YESID ALBERTO PADILLA - PADRE PEDRO MIGUEL MORA,7649477 - 3057702406,pegipto@arquibogota.org.co,LUNES,SEMANAL,SEMANAL
800144757,,CONGREGACION RELIGIOSA HERMANAS DE LOS POBRES DE SAN VICENTE DE PAUL,ADULTO MAYOR,ENGATIVÁ,SUBA,POTRERILLOS -,"CALLE 132 B NO. 100 A - 65 (OPERATIVA)
CALLE 74 SUR NO. 57 - 407 (MEDELLÍN - ADMINISTRATIVA)",HERMANA JULIETH,3108410821,sr.julmontavi@gmail.com,SÁBADO,QUINCENAL,2 Y 4 SEMANA DEL MES
900487105,-1,CORPORACION SOLIDARIOS UNIDOS POR LA NUTRICION Y LA ALIMENTACION -SOLUNA,TEJIENDO COMUNIDAD,SAN JOSÉ,SAN CRISTÓBAL,NUEVA GLORIA,TRANVERSAL 12 ESTE No. 37 - 69 SUR (ÚNICA SEDE),SONIA ELIZABETH POSSO MANTILLA,3185079108 - 3133201228,solunacuarta@gmail.com,JUEVES,QUINCENAL,2 Y 4 SEMANA DEL MES
830111643,,FUNDACIÓN HOGAR DE ABUELITOS FÉ Y LUZ,ADULTO MAYOR,INMACULADA CONCEPCIÓN,LOS MÁRTIRES,SANTA ISABEL,CALLE 25 A No. 1 B - 13,"FRAY JUAN MANUEL URREGO CHAVARRIAGA
RAMÓN ANTONIO DAZA GIL",3015002833,urregojuanmanuel@yahoo.es,LUNES,SEMANAL,SEMANAL
900938497,,ASOCIACION TRABAJADORES DE SILVANIA,TEJIENDO COMUNIDAD,SOACHA,SILVANIA,VEREDA AGUA BONITA CENTRAL,VEREDA AGUA BONITA CENTRAL,LUZ MIREYA BARRERA P,3142998271,luzmireyabarrera1805@gmail.com,JUEVES,MENSUAL,2 SEMANA
830108464,,CORPORACION EDUCATIVA Y SOCIAL WALDORF,INSTITUCIÓN EDUCATIVA,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,SIERRA MORENA V SECTOR,TRANSVERSAL 73 H BIS # 75 B 46,LAURA ZÁRATE,3105746921,ceswaldorf@ceswaldorf.org,MARTES,QUINCENAL,2 Y 4 SEMANA DEL MES
830076481,,PARROQUIA BEATO JOSE ALLAMANO,TEJIENDO COMUNIDAD,INMACULADA CONCEPCIÓN,PUENTE ARANDA,GALÁN,DIAGONAL 2 No. 58 - 11,PADRE ISAÍAS HERNÁN MÁRQUEZ MOLINA,3132592169,isahmam@hotmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA
830064874,-2,ASOCIACION CRISTIANA DEPORTIVA - ACD - CARAVELAS,INTERNADO,INMACULADA CONCEPCIÓN,PUENTE ARANDA,CARAVELAS,CARRERA 38 A No. 1 C - 11,YIHNO ALEXARDER MARCELLA,3132094308,acd@acdeportiva.com,MIÉRCOLES,QUINCENAL,1 Y 3 SEMANA
900157971,,FUNDACION RED DE VIDA,COMEDOR AMIGO,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,EL TESORO,TRANSVERSAL 18 H No. 78 C - 65 SUR,MARÍA VILLAMIZAR,3107621561 - 7913472 - 3134222947,freddevida2@gmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA DEL MES
900099643,,CORPORACION SIERRA FELIZ,"1. TEJIENDO COMUNIDAD
2. COMEDOR AMIGO",SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,ISMAEL PERDOMO,CLL 69 N. 73H-31 SUR,SARA MARÍA MORALES,3112105772,corposierrafeliz@hotmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA DEL MES
901704909,,FUNDACIÓN MARIA ANTONIETA QUEDATE QUIETA,COMEDOR ESCOLAR,ENGATIVÁ,ENGATIVÁ,VILLA LUZ,CALLE 64 D No. 75 - 75,JONATAN GERARDO GONZÁLEZ LUQUE,3008049927 - 3006459161,f.antonietaquedatequieta@gmail.com,VIERNES,SEMANAL,SEMANAL
832003568,,PARROQUIA SANTA LUCIA,TEJIENDO COMUNIDAD,ZIPAQUIRÁ,CHÍA,CENTRO,CALLE 11 No. 10 - 09,"SAMUEL GUÍO, KAROL RUÍZ",3005059757 - 3123742369,mesaparroquial.santalucia@gmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA
860014805,-2,ASOCIACION SOCIEDAD DE SAN VICENTE DE PAUL DE BOGOTA - HOGAR INFANTIL CAMITAS BLANCAS,COMEDOR ESCOLAR,SAN PABLO,RAFAEL URIBE URIBE,QUIROGA,CALLE 41 B SUR # 23 C-08,SANDRA CRUZ - JOSE ALDANA,3115167867 - 3185530436,direccion@sociedadsanvicentedepaul.org,VIERNES,QUINCENAL,1 Y 3 SEMANA DEL MES
900558352,,PARROQUIA NUESTRA SEÑORA DE FÁTIMA,TEJIENDO COMUNIDAD,ENGATIVÁ,SUBA,LOMBARDÍA,CARRERA 109 C No. 142 A - 50,PADRE MIGUEL IBARDO MOYANO HERNÁNDEZ - MANUEL ANTONIO JURADO,3133558479 - 3005560714,despachoparroquialfatima@gmail.com,VIERNES,MENSUAL,1 SEMANA
860014805,-4,ASOCIACION SOCIEDAD DE SAN VICENTE DE PAUL DE BOGOTA - HOGAR TERCERA EDAD,ADULTO MAYOR,SAN PABLO,RAFAEL URIBE URIBE,QUIROGA,CALLE 41 B SUR # 23 C-38,LUZ MIRYAM RUFI -JOSE ALDANA,3148072287 - 3115980978 - 3185530436,direccion@sociedadsanvicentedepaul.org,VIERNES,QUINCENAL,1 Y 3 SEMANA DEL MES
900229420,,CORPORACION SIGUE MIS HUELLAS,TERAPÉUTICO POR ADICCIÓN,ESPÍRITU SANTO,RAFAEL URIBE URIBE,OLAYA,CARRERA 19 C # 22-20 SUR,SANDRA LOSSA RODRIGUEZ,471 6156/3103226900,CORPO_SIGUEMISHUELLAS@HOTMAIL.COM,JUEVES,QUINCENAL,1 Y 3 SEMANA DEL MES
860007398,-1,CASA DE LA MADRE Y EL NIÑO,INTERNADO,INMACULADA CONCEPCIÓN,CHAPINERO,BELARCAZAR,CALLE 48 # 28-30,GLADIS YANETH CAMELO R,3125903935 (PEDIDOS) - 3102234024/3202152008,gerencia@la-casa.org,MARTES,SEMANAL,SEMANAL
860007398,-2,CASA DE LA MADRE Y EL NIÑO - CASA IMAGINA,INTERNADO,CRISTO SACERDOTE,CHAPINERO,BELARCAZAR,CALLE 48 # 28-30 - es la del barrio Andes,BARBARA SUSANA DE LOS DOLORES ESCOBAR DE VARGAS/ANA RIVERA,3138907968,gerencia@la-casa.org,LUNES,SEMANAL,SEMANAL
800026729,,FUNDACIÓN POLITECNICO MINUTO DE DIOS - TEC MD.,INSTITUCIÓN EDUCATIVA,ENGATIVÁ,ENGATIVÁ,EL MINUTO DE DIOS,TRANSVERSAL 73 A No. 81 I - 19,JOHN RODRÍGUEZ,3227899432,administrativa@tecmd.edu.co,LUNES,SEMANAL,SEMANAL
860352502,,CONGREGACION DE LAS ESCLAVAS DE CRISTO REY,TEJIENDO COMUNIDAD,PADRE MISERICORDIOSO,USAQUÉN,USAQUÉN,CALLE 119 # 4 -21,HNA DORA LUZ JARAMILLO ALZATE,6296820/3214250014/3224017480/3017968706,,SÁBADO,MENSUAL,1 SEMANA
900223205,,FUNDACION SEMILLAS DE VIDA TIERRA FERTIL,COMEDOR AMIGO,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,JUAN PABLO II,CALLE 67a NO. 18N -76 SUR,SANTIAGO ARGÜELLO PACHÓN,3102308137,,MIÉRCOLES,MENSUAL,1 SEMANA
900791229,,CORPORACION SIN LIMITES AFROCOLOMBIANA,TEJIENDO COMUNIDAD,SAN PABLO,USME,CHUNIZA,CARRERA 2 ESTE No. 89 - 62 SUR,TIBE MONTAÑO CUERO,3106096963,corafro2008@hotmail.com,MARTES,QUINCENAL,2 Y 4 SEMANA DEL MES
900855057,,CORPORACION CONSTRUCTORS OF PEACE INTERNATIONAL - ONG,COMEDOR ESCOLAR,SAN PABLO,USME,NUEVO SAN ANDRÉS,TRANSVERSAL 14 P BIS # 68 A - 97 SUR,Hugo Florez Clavijo,2221676 / 313 473 18 84 Hugo/7613156 Jerson Florez,,MIÉRCOLES,SEMANAL,SEMANAL
901159468,,FUNDACION HANNA CORTES,TEJIENDO COMUNIDAD,CRISTO SACERDOTE,BARRIOS UNIDOS,LOS ANDES,CARRERA 67 A No. 94 - 40,ANA ROSA CORTES RODRIGUEZ,3005574671 - 2222191,contacto@fundacionhannacortes.org,VIERNES,MENSUAL,3 SEMANA
900175374,-1,ASOCIACION DE HOGARES SI A LA VIDA,ADULTO MAYOR,SOACHA,BOSA,ANTONIA SANTOS,CRA 81 I # 65- 71 SUR,VIVIANA CAROLINA MELO DIAZ,HELINDA DIAZ 3005580636. TOMA DE PEDIDO DE FERIA IVONNE GUTIERRES 3142908804,asociaciondehogaressialavida@gmail.com,JUEVES,SEMANAL,SEMANAL
860008867,-6,FUNDACION SAN ANTONIO - CHICO SUR,COMEDOR AMIGO,SAN PABLO,USME,CHICO SUR,CRA 2 NO. 90-31 SUR,,,gestionsocial@fundacionsanantonio.org,JUEVES,QUINCENAL,2 Y 4 SEMANA DEL MES
890319456,,OBRA DE SAN JUAN DE AVILA,INTERNADO,INMACULADA CONCEPCIÓN,LOS MÁRTIRES,SANTA ISABEL SUR,CRA 27A N. 1 A - 19,MARIELA AYALA,3043140427,,JUEVES,SEMANAL,SEMANAL
860019885,,HOGAR DEL ANCIANO SAN RAFAEL,ADULTO MAYOR,ZIPAQUIRÁ,CHÍA,EL CAMPÍN,CARRERA 5 No. 9 - 46,HERMANA MARÍA ELENA OSORIO T. - MARÍA ANGÉLICA SANABRIA,3182649081 - 3225557067,hogar.sanrafael@yahoo.es,LUNES,SEMANAL,SEMANAL
900310195,-2,FUNDACION CONSTRUYENDO FUTURO ONG,TERAPÉUTICO POR DISCAPACIDAD,SAN PABLO,RAFAEL URIBE URIBE,QUIROGA,CALLE 35 SUR No. 23F - 06,ELIANA PAOLA MARTÍNEZ CIFUENTES,3107777435 (PEDIDOS) - 3178949257,construyendofuturoong@gmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA DEL MES
900736762,,FUNDACION ABUELOS FUENTE DE SABIDURIA,ADULTO MAYOR,ENGATIVÁ,SUBA,PUERTA DEL SOL,CALLE 140 NO. 111A - 35,#N/A,6023967-3166204539,,MIÉRCOLES,QUINCENAL,1 Y 3 SEMANA
890322663,,CONGREGACION MISIONEROS COMBONIANOS DEL CORAZON DE JESUS,COMEDOR AMIGO,CRISTO SACERDOTE,SOACHA,ALTOS DE CAZUCÁ – EL OASIS,"CARRERA 41 B ESTE No. 40 D – 49 (OPERATIVA)
CALLE 42 No. 13 - 50 (ADMINISTRATIVA, SUCRE - CHAPINERO)",PADRE DANIEL ZARANTONELLO - MARISOL GARZÓN,"3166415732
- 3173433245",padredaniele@gmail.com,MARTES,QUINCENAL,2 Y 4 SEMANA
900085682,,CORPORACION ORIENTAR PARA CRECER,INTERNADO,INMACULADA CONCEPCIÓN,LOS MÁRTIRES,SAMPER MENDOZA,CALLE 22 A No. 19 B - 32,EDWIN ANDREI NOVOA SANABRIA / CLAUDIO JOSE VEGA,3123788996 / 3133687814,CJVEGAO@HOTMAIL.COM,LUNES,QUINCENAL,1 Y 3 SEMANA DEL MES
900085682,,CORPORACION ORIENTAR PARA CRECER - SUCURSAL,COMEDOR AMIGO,INMACULADA CONCEPCIÓN,LOS MÁRTIRES,SAMPER MENDOZA,CALLE 22 A No. 19 B - 32,CLAUDIO JOSE VEGA OJEDA,312 3788996 / 3133687814,CJVEGAO@HOTMAIL.COM,LUNES,QUINCENAL,1 Y 3 SEMANA DEL MES
900091485,,FUNDACION SIERVOS DE JESUS,COMEDOR ESCOLAR,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,LUIS CARLOS GALAN,Carrera 20B Sur N. 45-16,LUZ MARITZA MURILLO,3015125870 -5763792,fundasiervos@gmail.com,VIERNES,QUINCENAL,1 Y 3 SEMANA DEL MES
900449230,,ASOCIACION RETO A LA ESPERANZA,TERAPÉUTICO POR ADICCIÓN,FONTIBÓN,FONTIBÓN,BELEN,CALLE 18 No. 106 - 45,LUIS ANTONIO GONZALEZ HERNANDEZ,3166988125,retoalaesperanzabogota@yahoo.com,MARTES,QUINCENAL,2 Y 4 SEMANA DEL MES
830080643,,ASOCIACION NUEVA VIDA PARA MUJERES,TERAPÉUTICO POR ADICCIÓN,INMACULADA CONCEPCIÓN,LOS MÁRTIRES,SANTA FE,AVENIDA CALLE 19 No. 16 A - 54,ALBA NUBIA DUQUE CALVO- AMPARO,281 94 75 - 480 37 59 -3192481200 Alba/3133882966 /2433380/3167412132 Julio Cesar,"nuevavidaparamujeresbogota@gmail.com,jesusalbaduque@gmail.com",SÁBADO,SEMANAL,SEMANAL
900340996,,FUNDACION AMIGOS CON AMOR,TEJIENDO COMUNIDAD,SAN JOSÉ,SAN CRISTÓBAL,ATENAS,CALLE 33 SUR No. 3 B - 32 ESTE,MARIA GALDYS B,3118958821-3625832,,MARTES,QUINCENAL,1 Y 3 SEMANA DEL MES
900171089,,FUNDACION TALLER DE MIS SUEÑOS,COMEDOR ESCOLAR,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,EL MIRADOR,CLL 71C SUR N.27-28,MARIEN GINEY RIVAS,3204734758,,MIÉRCOLES,QUINCENAL,2 Y 4 SEMANA
900963439,,FUNDACION NUEVA GENERACION DE CONQUISTA N.G.C.,COMEDOR ESCOLAR,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,SANTA MARTA BAJA,CALLE 81 G BIS SUR #18C - 27,NORA MARTINEZ,3124668656,fundacionmgc@gmail.com,LUNES,QUINCENAL,2 Y 4 SEMANA DEL MES
901084195,,FUNDACION COMPARTIENDO VIDA,COMEDOR ESCOLAR,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,ALAMEDA,CARRERA 17 M No. 67 B - 16 SUR,DIANA GUEVARA,322 7780626,fun.compartiendovida@gmail.com,MIÉRCOLES,SEMANAL,SEMANAL
900774045,,FUNDACION PALAGUS SEMBRADORES DE ESPERANZA,COMEDOR ESCOLAR,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,MOCHUELO BAJO,"CLL 91 SUR N 18 H 04 CLL 93 A SUR N 18 B 42
(CONFIRMÓ PARA ABASTOS)",LUZ MARINA PICO,3228412573,fundacionpalagus@gmail.com,VIERNES,SEMANAL,SEMANAL
860028947,,"CONGREGACION DE HERMANAS FRANCISCANAS MISIONERAS DE MARIA AUXILIADORA, PROVINCIA MARIA AUXILIADORA",COMEDOR AMIGO,FONTIBÓN,FONTIBÓN,BELÉN,CALLE 18 No. 106-48,HNA TERESA GIRALDO,3156017505,,MIÉRCOLES,MENSUAL,4 SEMANA
900800817,,FUNDACION MAX TRAVESURAS,COMEDOR ESCOLAR,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,PARAISO QUIBA,CALLE 71PBIS # 27R - 08 SUR,DIANA MARCELA SILVA NARVAEZ,7659692/3106797957/3142426497,fundacionmaxtravesuras@gmail.com,LUNES,QUINCENAL,2 Y 4 SEMANA DEL MES
901092799,,CENTRO DE ADORACIÓN FAMILIAR,"1. JARDÍN INFANTIL
2. TEJIENDO COMUNIDAD",SOACHA,SOACHA,SAN MATEO,CALLE 32 D No. 06 H ESTE - 32,SARA MICHEL PINZÓN PÉREZ,3219348504 - 3208626076,iglecaf@gmail.com,LUNES,MENSUAL,4 SEMANA
860033785,,COMUNIDAD HIJAS DE MARIA AUXILIADORA - PROVINCIA NUESTRA SEÑORA DE LAS NIEVES,COMEDOR ESCOLAR,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,LA ESTRELLA,CALLE 73 SUR No. 18 F - 32,SOR BERTHA VIVAS MEJÍA,3167439353 - 7905121,ciudadbolivarmornes@yahoo.com.mx,JUEVES,QUINCENAL,1 Y 3 SEMANA DEL MES
860033785,,COMUNIDAD HIJAS DE MARIA AUXILIADORA - PROVINCIA NUESTRA SEÑORA DE LAS NIEVES - SEDE CENTRO COMERCIAL EDUCACIÓN MEDIA MARGARITA BOSCO,"1. COMEDOR AMIGO
2. TEJIENDO COMUNIDAD",SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,LA ESTRELLA,CALLE 73 SUR No. 18 F - 32,SOR BERTHA VIVAS MEJÍA,3167439353 - 7905121,ciudadbolivarmornes@yahoo.com.mx,JUEVES,QUINCENAL,1 Y 3 SEMANA DEL MES
890981333,,COMUNIDAD RELIGIOSA MADRES MISIONERAS DOROTEAS HIJAS SAGRADOS CORAZONES,INSTITUCIÓN EDUCATIVA,FONTIBÓN,BOSA,BRASIL,CARRERA 88C NO.54F-29 SUR,HERMANA CLARA FREYD - HERMANA MARIA ANGELA SANDOVAL,3117915017-3127482894,clarajfm@yahho.es,MARTES,SEMANAL,SEMANAL
830143088,,CORPORACION DE VENDEDORES INFORMALES DE INGLES Y CLARET COVINCLA ONG,TEJIENDO COMUNIDAD,FONTIBÓN,KENNEDY,TEQUENDAMA,CALLE 39 A SUR NO. 78 P -17,NORA ACENED ARIAS,3134389508,covinclaong@hotmail.com,SÁBADO,QUINCENAL,1 Y 3 SEMANA DEL MES
900112753,-1,COORPORACION PARA EL DESARROLLO HUMANO INTEGRAL CUYAS SIGLAS SON FUNDEHI,COMEDOR ESCOLAR,SOACHA,SOACHA,EL ARROYO,CRA. 23 A ESTE # 41A-62,ALBA MARINA PINTO,3208591394 - 3132181179,direccion@fundehi.org,JUEVES,QUINCENAL,1 Y 3 SEMANA DEL MES
900112753,-2,COORPORACION PARA EL DESARROLLO HUMANO INTEGRAL CUYAS SIGLAS SON FUNDEHI - REMANSO DE LOS ABUELOS,ADULTO MAYOR,SOACHA,SOACHA,EL ARROYO,CRA 24 B ESTE NO. 42-17,ALBA MARIAN PINTO,903 9487- 320 859 1394,direccion@fundehi.org,JUEVES,QUINCENAL,1 Y 3 SEMANA DEL MES
830107764,,CORPORACION NUEVO GENESIS,JARDÍN INFANTIL,FONTIBÓN,KENNEDY,LOS ALMENDROS,CRA. 98 NO. 40 A - 52 SUR,#N/A,570 25 76 - 310 889 97 82,cnuevogenesis@gmail.com,JUEVES,QUINCENAL,1 Y 3 SEMANA DEL MES
900363825,,FUNDACION BETHEL,COMEDOR ESCOLAR,FONTIBÓN,FONTIBÓN,VILLEMAR,CARRERA 96 G NO. 21 - 11,María Cristina Bustos Vásquez,3162437359 - 4859923,funbethel@hotmail.es,LUNES,SEMANAL,SEMANAL
860014805,-1,ASOCIACION SOCIEDAD DE SAN VICENTE DE PAUL DE BOGOTA - JORNADA ALTERNA MARIO VALENZUELA,COMEDOR ESCOLAR,FONTIBÓN,FONTIBÓN,FONTIBÓN CENTRO,CRA 97 NO. 22 G - 63,JOSE ALDANA,3185530436 - 3187155820,direccion@sociedadsanvicentedepaul.org,VIERNES,QUINCENAL,1 Y 3 SEMANA DEL MES
900995615,,ASOCIACION HOGAR GERONTOLOGICO AMOR Y VIDA,ADULTO MAYOR,INMACULADA CONCEPCIÓN,LOS MÁRTIRES,SANTA ISABEL,CRA 29 # 1 G- 45,JENNIFER RODRIGUEZ,3103299377 2379813,hogaramoryvida@hotmail.com,JUEVES,QUINCENAL,1 Y 3 SEMANA DEL MES
830132331,,PINTANDO CAMINOS ASOCIACIÓN PARA RECREAR EL FUTURO,COMEDOR ESCOLAR,SANTA ISABEL DE HUNGRÍA,CUDAD BOLÍVAR,POTOSÍ,CARRERA 46 A No. 81 B - 22 SUR,ALEXANDRA TAMARA VELÁSQUEZ,3104804885,facturaelectronicapintando@gmail.com,LUNES,SEMANAL,SEMANAL
830122807,,FUNDACION APRENDER,TERAPÉUTICO POR DISCAPACIDAD,ENGATIVÁ,FONTIBÓN,MODELIA,CALLE 25 G No. 74 B - 13,SOL MIREYA CÁRDENAS JIMÉNEZ,3123834941 - 3012769908,fundacionaprender@yahoo.com,MARTES,QUINCENAL,1 Y 3 SEMANA DEL MES
900065413,,FUNDACION CHAMINADE,COMEDOR AMIGO,SAN PABLO,USME,LA FISCALA,CARRERA 1 No. 63 - 71 SUR (ÚNICO PUNTO DE ENVÍO),PADRE RODRIGO / MARÍA INELDA,3213260084,fundacionchaminade2009@gmail.com,MARTES,SEMANAL,SEMANAL
900216738,,CORPORACION SENDEROS DE ESPERANZA,COMEDOR ESCOLAR,FONTIBÓN,KENNEDY,PATIO BONITO,CARRERA 93 B No. 34 SUR - 97,ZULMA ENEYDA MANYOMA CORDOBA,3166852562 - 2936453,senderos451@hotmail.com,MIÉRCOLES,QUINCENAL,PROGRAMA LADY JIMÉNEZ
900064486,,FUNDACION CABECITAS,JARDÍN INFANTIL,SAN PEDRO,SUBA,CASABLANCA,CALLE 146 C No. 75 D - 70,CAROLINA RODRÍGUEZ,3158374214 (PEDIDOS) - 6813158 - 3158374214 - 3194503821,fun_cabecitas@yahoo.com,LUNES,QUINCENAL,2 Y 4 SEMANA DEL MES
900989512,,FUNDACION DEVOCION AL CORAZON DE MARIA,TEJIENDO COMUNIDAD,SAN JOSÉ,ANTONIO NARIÑO,CUIDAD BERNA,CRA. 11 # 7 - 07 SUR,#N/A,3096949/3212770853/3124264229,"fundecorma@gmail.com,ginapaola.sarmiento@gmail.com",LUNES,QUINCENAL,1 Y 3 SEMANA DEL MES
860076833,,PARROQUIA SAN GREGORIO MAGNO,COMEDOR AMIGO,INMACULADA CONCEPCIÓN,PUENTE ARANDA,CUNDINAMARCA,CARRERA 32 No. 19 - 15,PADRE LUIS RAMÍREZ,3025580716,#N/A,JUEVES,SEMANAL,SEMANAL
860023408,,FUNDACION DE PREVENCION INFANTIL,"1. INSTITUCIÓN EDUCATIVA
2. INTERNADO",SOACHA,SIBATE,VEREDA PERICO,VEREDA PERICO,DELIA HERLINDA TOCTAGUANO CAZA,3112599696,"internadopreventorioinfantil@gmail.com, preventorioinfantil03@hotmail.com 
",MARTES,QUINCENAL,1 Y 3 SEMANA DEL MES
